text_encoding&text_dim&next_activity_acc&next_time_mae&next_activity_acc&next_time_mae
-&0&     0.8733&     0.2122&     0.5128&     0.0785
BoW&50&     0.9919&     0.0743&     0.5274&     0.0778
BoW&100&     0.9919&     0.0753&     0.5293&     0.0776
BoW&500&     0.9919&     0.0737&     0.5229&     0.0785
BoNG&50&     0.9918&     0.0743&     0.5288&     0.0788
BoNG&100&     0.9919&     0.0735&     0.5242&     0.0798
BoNG&500&     0.9919&     0.0738&     0.5214&     0.0782
PV&10&     0.9216&     0.1633&     0.5153&     0.0785
PV&20&     0.9759&     0.0939&     0.5206&     0.0789
PV&100&     0.9916&     0.0760&     0.5199&     0.0785
LDA&10&     0.9919&     0.0734&     0.5244&     0.0786
LDA&20&     0.9919&     0.0756&     0.5214&     0.0782
LDA&100&     0.9919&     0.0762&     0.5271&     0.0788
