model,timestamp,num_layer,num_shared_layer,hidden_neurons,advanced_time_attributes,data_attributes,event_dim,text_encoding,text_dim,next_activity_acc,next_time_mae,outcome_acc,cycle_time_mae,naa_1,naa_2,naa_3,naa_4,naa_5,naa_6,naa_7,naa_8,ntm_1,ntm_2,ntm_3,ntm_4,ntm_5,ntm_6,ntm_7,ntm_8,oa_1,oa_2,oa_3,oa_4,oa_5,oa_6,oa_7,oa_8,ctm_1,ctm_2,ctm_3,ctm_4,ctm_5,ctm_6,ctm_7,ctm_8
tapp,2020-09-30-20-22-06,2,1,100,True,"['age', 'gender']",30,-,0,0.5127838772747781,0.07853461415601824,0.5593322304105881,0.1958879964652946,0.36112777444511096,0.4159168166366727,0.4758620689655173,0.6001552795031055,0.7413647851727043,0.7880434782608695,0.8604651162790697,0.8333333333333334,0.4422788734653729,0.1454800025694089,0.0578099659293779,0.02159785823665361,0.01788163626298849,0.014121230074894657,0.00046776991459468025,4.138726265832721e-05,0.3733253349330134,0.4669066186762648,0.5307881773399015,0.640139751552795,0.7691659646166807,0.8070652173913043,0.8372093023255814,0.8333333333333334,0.6182711640121317,0.2670658101880634,0.16902317901101124,0.13446016507002573,0.13675803434376768,0.15343661206451978,0.16008013936386964,0.16407987728040402
tapp,2020-09-30-20-32-47,2,1,100,True,"['age', 'gender']",80,BoW,50,0.5274477365017296,0.07781784209942806,0.5345916679199879,0.2073007474136011,0.3773245350929814,0.4429114177164567,0.4854679802955665,0.6086956521739131,0.7481044650379107,0.7771739130434783,0.8023255813953488,0.8333333333333334,0.43771350551319776,0.14406214996641048,0.0573342278782948,0.021469764664640442,0.01772179649839119,0.014162862448399698,0.0004160246247879705,6.4300411522633735e-06,0.386122775444911,0.4459108178364327,0.5073891625615764,0.6118012422360248,0.7312552653748947,0.7798913043478259,0.813953488372093,0.8888888888888888,0.5935946173546321,0.2756933805462386,0.17935752096553068,0.14859023831319812,0.15556898922471124,0.17123793802831488,0.1780499428556871,0.17866001574590862
tapp,2020-09-30-20-43-49,2,1,100,True,"['age', 'gender']",130,BoW,100,0.5293277184539028,0.07759417726913828,0.5411340051135509,0.19250334434963728,0.3827234553089382,0.4451109778044391,0.4862068965517241,0.6106366459627329,0.7514743049705139,0.7907608695652174,0.7790697674418605,0.8333333333333334,0.4376343406574533,0.1434196921304881,0.057494114553387286,0.02145799366460451,0.01745255141407742,0.01396645316748577,0.0005529486552573914,1.7624471045325324e-06,0.3877224555088982,0.4549090181963607,0.5091133004926108,0.6215062111801242,0.7337826453243471,0.7989130434782609,0.8255813953488372,0.8333333333333334,0.5892084885712802,0.26277689496773465,0.1657720008122481,0.13246629894186815,0.13454838795389873,0.1510014946539189,0.14997630705821113,0.16980856883673018
tapp,2020-09-30-20-53-54,2,1,100,True,"['age', 'gender']",530,BoW,500,0.5229357798165137,0.07852501180612513,0.5275981350579034,0.202651918641642,0.3745250949810038,0.4415116976604679,0.4761083743842365,0.6063664596273292,0.7422072451558551,0.7581521739130435,0.8372093023255814,0.9444444444444444,0.4386981413492592,0.14476584785974506,0.05834918259850728,0.02182098416739791,0.018206366392381903,0.013983463529137829,0.0009397158605543113,0.01690272746262727,0.3779244151169766,0.4349130173965207,0.5014778325123153,0.6129658385093167,0.7127211457455771,0.7880434782608695,0.8372093023255814,0.8888888888888888,0.5890624679247417,0.270551433078847,0.1766013412873548,0.1446390299206869,0.14712242295008976,0.16288419215011615,0.16322252657165,0.17010462796246564
tapp,2020-09-30-21-04-45,2,1,100,True,"['age', 'gender']",80,BoNG,50,0.5288013235072944,0.07877352887320367,0.5491803278688525,0.198670435774024,0.3795240951809638,0.4409118176364727,0.4889162561576354,0.6121894409937888,0.7464195450716091,0.7961956521739131,0.8023255813953488,0.8888888888888888,0.4387093917013079,0.1447681162845335,0.058149681181792826,0.0231031254215271,0.018650883909566755,0.015228008406923631,0.0019108120785203085,0.001843623621964161,0.3835232953409318,0.4571085782843432,0.5216748768472906,0.6331521739130435,0.7464195450716091,0.7826086956521741,0.8837209302325582,0.8888888888888888,0.5960418011620644,0.26678197435761936,0.17195863798797353,0.14021359607106948,0.1450969681068253,0.15991855832113733,0.15963314883982074,0.1725520557925534
tapp,2020-09-30-21-15-49,2,1,100,True,"['age', 'gender']",130,BoNG,100,0.5242141675439915,0.07982458763160204,0.537750037599639,0.20752846997944105,0.38192361527694463,0.4387122575484903,0.477832512315271,0.609860248447205,0.7430497051390059,0.8043478260869565,0.8372093023255814,0.8333333333333334,0.4392369128535336,0.14547769511364975,0.059448943896934475,0.024004592278660333,0.020542140087213504,0.01646641226002463,0.0031898602260586315,0.003178308029724247,0.3843231353729254,0.4465106978604279,0.5192118226600986,0.6168478260869565,0.7127211457455771,0.7798913043478259,0.8023255813953488,0.9444444444444444,0.5949096235299156,0.2748677376348333,0.18030849200148927,0.15041354052120212,0.15565204061469912,0.1676310152516081,0.17060697948183096,0.19162786695692274
tapp,2020-09-30-21-25-42,2,1,100,True,"['age', 'gender']",530,BoNG,500,0.5213565949766882,0.07816544564444693,0.5240637689878177,0.19299495526314506,0.3739252149570086,0.4349130173965207,0.4731527093596059,0.6110248447204969,0.7573715248525695,0.7527173913043478,0.813953488372093,0.8333333333333334,0.43781935243893616,0.14434852025502293,0.058091709290291636,0.021345121700669958,0.01820882082182545,0.013771704131416412,0.000431545111354726,3.49576900034775e-05,0.38292341531693663,0.4383123375324935,0.4970443349753695,0.6048136645962733,0.7042965459140691,0.7527173913043478,0.813953488372093,0.8888888888888888,0.5876511310508146,0.26123695825920146,0.16725688361672048,0.13574605796603115,0.13646169844174993,0.1454340013448185,0.1444430750223401,0.160225817205484
tapp,2020-09-30-21-41-23,2,1,100,True,"['age', 'gender']",40,PV,10,0.5153406527297338,0.0785197821803539,0.546397954579636,0.2163082705576654,0.3713257348530294,0.4239152169566087,0.4748768472906404,0.6032608695652174,0.7346251053074979,0.7934782608695652,0.813953488372093,0.8888888888888888,0.4413178423221452,0.14543218862667542,0.0576876152130905,0.02173603625275404,0.018083178250644424,0.013980044418096322,0.00042252936512777317,4.651571006931886e-06,0.3823235352929414,0.4567086582683463,0.5155172413793103,0.6284937888198758,0.7464195450716091,0.8070652173913043,0.813953488372093,0.8333333333333334,0.6038633411785476,0.2798366838735787,0.190036338373078,0.1615239429251026,0.16867343770600185,0.18657745909893625,0.19352318385056028,0.19443476031346574
tapp,2020-09-30-21-53-28,2,1,100,True,"['age', 'gender']",50,PV,20,0.5206046021958189,0.07889030547800646,0.5545194766130245,0.2046659471175548,0.3729254149170166,0.4307138572285543,0.47783251231527096,0.6141304347826086,0.7295703454085931,0.7907608695652174,0.8372093023255814,0.8888888888888888,0.4408373805201874,0.14536564023262866,0.05856259494340615,0.022288416522223624,0.01828009456022865,0.013170056736903584,0.0008118348856176619,0.0005230657106319082,0.374125174965007,0.4643071385722856,0.5246305418719212,0.6315993788819876,0.7624262847514743,0.8179347826086957,0.8372093023255814,0.8333333333333334,0.6034449688072221,0.2750032217098383,0.1770295971806197,0.14445520062939662,0.14927698624097244,0.16423947066692532,0.16513278285970368,0.17242839185298714
tapp,2020-09-30-22-06-09,2,1,100,True,"['age', 'gender']",130,PV,100,0.5198526094149496,0.0784832774078399,0.537750037599639,0.20916582678052206,0.3765246950609878,0.4297140571885623,0.477832512315271,0.609472049689441,0.7329401853411963,0.7989130434782609,0.8372093023255814,0.8888888888888888,0.4416972455548192,0.14540102885410247,0.05774107220016784,0.0218070192817264,0.017568306788398103,0.0136566719542154,0.0004292799866117351,6.4300411522633735e-06,0.38132373525294944,0.4407118576284743,0.5120689655172413,0.6265527950310559,0.7354675652906487,0.8043478260869565,0.7790697674418605,0.8888888888888888,0.6017948760318533,0.27847296528013205,0.18291214696809127,0.14874915125595767,0.15311601732267358,0.16938249764921992,0.17853906357832552,0.1766553190411854
tapp,2020-09-30-22-16-53,2,1,100,True,"['age', 'gender']",40,LDA,10,0.5243645661001655,0.07856374978949072,0.5508347119867649,0.20906608780490665,0.38032393521295743,0.4373125374925015,0.4805418719211823,0.6040372670807453,0.7523167649536647,0.7989130434782609,0.8720930232558141,0.8333333333333334,0.4418768855926923,0.1456810198402465,0.05773291596082135,0.02187359653850529,0.01732215472089954,0.013177671318756785,0.0004287319138171239,6.4300411522633735e-06,0.38412317536492696,0.4637072585482904,0.5206896551724138,0.6242236024844721,0.7565290648694187,0.8043478260869565,0.8372093023255814,0.8888888888888888,0.6019092558165964,0.2780763546360123,0.1815437095441761,0.14948164186970878,0.15456317473852366,0.17400473830090676,0.18433511353278345,0.18213016918166675
tapp,2020-09-30-22-30-03,2,1,100,True,"['age', 'gender']",50,LDA,20,0.5213565949766882,0.07817500128315127,0.5530906903293729,0.20328505536269573,0.3693261347730454,0.4339132173565287,0.4770935960591133,0.6044254658385093,0.7514743049705139,0.7880434782608695,0.8372093023255814,0.7777777777777778,0.439997856033954,0.1443289043768338,0.05789468966873418,0.02192448876367146,0.017814857983480658,0.013637875861708736,0.000855218225465983,0.0007492541212113307,0.3817236552689462,0.4625074985002999,0.520935960591133,0.6428571428571429,0.7422072451558551,0.8043478260869565,0.8720930232558141,0.9444444444444444,0.5988763024813032,0.2728678831692512,0.17669797931524805,0.1431847368557823,0.1471859701159458,0.16384974570378014,0.15845975615052085,0.17927020035653446
tapp,2020-09-30-22-39-29,2,1,100,True,"['age', 'gender']",130,LDA,100,0.5271469393893818,0.07880406150032995,0.5442171755151151,0.20285449889475377,0.3767246550689862,0.4393121375724855,0.4876847290640394,0.6121894409937888,0.7438921651221567,0.7717391304347826,0.8255813953488372,0.8888888888888888,0.4382438199775273,0.14433009405424466,0.05878595255731808,0.02269069530521992,0.019368288970779548,0.015775729563453154,0.002070420145407691,0.0019164636105666927,0.3847230553889222,0.46070785842831435,0.5096059113300493,0.6261645962732919,0.7379949452401011,0.779891304347826,0.813953488372093,0.8888888888888888,0.5906213729573203,0.26869644479930016,0.17790216725122815,0.1452973493867348,0.1506294735272539,0.16385832542190615,0.16992035441107017,0.18317389405803916
