text_encoding&text_dim&next_activity_acc&next_time_mae&next_activity_acc&next_time_mae&next_activity_acc&next_time_mae
-&0&     0.7671&     0.2995&     0.5152&     0.0787&     0.7533&    42.5521
BoW&50&     0.9166&     0.1252&     0.5321&     0.0779&     0.7521&    44.0700
BoW&100&     0.9163&     0.1266&     0.5316&     0.0800&     0.7538&    43.6988
BoW&500&     0.9163&     0.1251&     0.5307&     0.0785&     0.7564&    42.7451
BoNG&50&     0.8978&     0.1569&     0.5307&     0.0796&     0.7537&    42.9530
BoNG&100&     0.9139&     0.1299&     0.5334&     0.0781&     0.7549&    43.8886
BoNG&500&     0.9164&     0.1251&     0.5256&     0.0788&     0.7545&    44.3789
PV&10&     0.8594&     0.2056&     0.5220&     0.0802&     0.7486&    42.9184
PV&20&     0.9052&     0.1366&     0.5241&     0.0809&     0.7529&    42.4319
PV&100&     0.9111&     0.1565&     0.5248&     0.0791&     0.7536&    43.3412
LDA&10&     0.9163&     0.1232&     0.5238&     0.0783&     0.7530&    42.5900
LDA&20&     0.9163&     0.1232&     0.5238&     0.0789&     0.7533&    43.3191
LDA&100&     0.9162&     0.1233&     0.5326&     0.0788&     0.7564&    44.7474
