caseID,prefix-length,true-next-activity,pred-next-activity,true-next-time,pred-next-time,true-outcome,pred-outcome,true-cycle-time,pred-cylce-time
13332,1,1,1,0.02427659722114051,0.017719689828378182,4,4,2.0390178356485236,2.014040436921296
13332,2,5,2,0.013357546296384599,1.2764392541956018,4,4,2.0390178356485236,2.2644585271979922
13332,3,2,2,1.4857935648163159,1.3719818793402778,4,4,2.0390178356485236,2.572337557869377
13332,4,3,3,0.3138234143511013,0.34055858470775463,4,4,2.0390178356485236,2.2320773846214568
13332,5,4,4,0.2017667129635811,0.17031551784939236,4,4,2.0390178356485236,1.9777579857491785
13332,6,11,11,0.0,0.0,4,4,2.0390178356485236,2.0404960972429427
13333,1,1,1,0.024916342590694075,0.017373730694806133,10,4,5.50208716435013,2.0139335575810184
13333,2,2,2,1.4333762268528893,1.2554548249421296,10,4,5.50208716435013,2.466280455727268
13333,3,3,3,0.3530723842592151,0.34004222728587963,10,4,5.50208716435013,2.039026935401338
13333,4,6,6,0.6176928009258377,0.8003312174479167,10,10,5.50208716435013,6.954715286457429
13333,5,7,7,2.8415422800928356,2.321233723958333,10,10,5.50208716435013,5.5257074218740065
13333,6,10,10,0.2314871296286583,0.22711622450086805,10,10,5.50208716435013,5.500684805771819
13333,7,11,11,0.0,0.0,10,10,5.50208716435013,5.50208716435013
13334,1,5,1,0.03586945601635509,0.01762578187165437,10,4,5.069046759257714,2.0122994429976853
13334,2,1,1,0.0,0.0,10,4,5.069046759257714,2.621701704280244
13334,3,2,2,1.4637347106497596,1.3681304253472222,10,4,5.069046759257714,5.378969499419133
13334,4,3,3,0.2732898611106254,0.34062002676504627,10,4,5.069046759257714,2.2685685583038464
13334,5,6,6,0.7618572685177679,0.7680147750289352,10,10,5.069046759257714,7.065690975114703
13334,6,7,7,2.2998153587955015,2.2857136140046297,10,10,5.069046759257714,5.50145738715099
13334,7,10,10,0.23448010416770423,0.22774115668402778,10,10,5.069046759257714,5.121725943284454
13334,8,11,11,0.0,0.0,10,10,5.069046759257714,5.069401128054769
13335,1,1,1,0.022602916666203076,0.017784333405671298,10,4,4.899751226852337,2.0159850622106483
13335,2,2,2,1.3710403703705027,1.310343605324074,10,4,4.899751226852337,2.3909496325226844
13335,3,3,3,0.3412987615747584,0.339808507848669,10,4,4.899751226852337,2.1029912055118216
13335,4,6,6,0.8338105902765636,0.7943853081597222,10,10,4.899751226852337,6.204302942708686
13335,5,7,7,2.0618582060188055,2.3381685836226853,10,10,4.899751226852337,5.48881105179312
13335,6,10,10,0.2691403819455041,0.21276482476128472,10,10,4.899751226852337,4.630610844906833
13335,7,11,11,0.0,0.0,10,10,4.899751226852337,4.899751226852337
13336,1,1,1,0.02053818287120925,0.017581299675835504,10,4,5.035497268518364,2.0143299696180557
13336,2,2,2,1.4803381018506157,1.281160843460648,10,4,5.035497268518364,2.211005847801765
13336,3,3,3,0.37469270833388524,0.34013827853732637,10,4,5.035497268518364,2.1449025705291165
13336,4,6,6,0.8543675578716728,0.5055609356915509,10,4,5.035497268518364,3.8504443909145065
13336,5,7,7,2.1177120601854944,2.323132052951389,10,10,5.035497268518364,5.7100904499435865
13336,6,10,10,0.1878486574054868,0.2239161060474537,10,10,5.035497268518364,5.065544028502924
13336,7,11,11,0.0,0.0,10,10,5.035497268518364,5.035497268518364
13337,1,1,1,0.024314247684346306,0.017637468973795572,4,4,1.9130625115721314,2.0136979166666666
13337,2,2,2,1.3069250347216923,1.2796781864872686,4,4,1.9130625115721314,2.334556399015365
13337,3,3,3,0.40591252314823645,0.34102708604600696,4,4,1.9130625115721314,1.92119890878046
13337,4,4,4,0.17591070601785624,0.19805686668113426,4,4,1.9130625115721314,1.9197284159781756
13337,5,11,11,0.0,0.0,4,4,1.9130625115721314,1.9163433748042142
13338,1,1,1,0.020147199073323498,0.017752579583062065,4,4,1.983167210649009,2.0135302734375
13338,2,5,2,0.012878206019048337,1.2797438331886575,4,4,1.983167210649009,2.0333201229737865
13338,3,2,2,1.4179954976864435,1.3463010886863427,4,4,1.983167210649009,1.5162276258678349
13338,4,3,3,0.3472786111108683,0.34130027488425924,4,4,1.983167210649009,2.160003559752195
13338,5,4,4,0.1848676967593255,0.18689484772858797,4,4,1.983167210649009,1.95409453070826
13338,6,11,11,0.0,0.0,4,4,1.983167210649009,1.983167210649009
13339,1,1,1,0.02296212962932057,0.01767870585123698,10,4,5.02659629629442,2.0139603226273146
13339,2,2,2,1.2383226620378318,1.429334400318287,10,4,5.02659629629442,3.122890515045987
13339,3,3,3,0.3923071643516973,0.3407973904079861,10,4,5.02659629629442,2.116863314525949
13339,4,6,6,0.8394610879625435,0.8292603443287037,10,10,5.02659629629442,5.946803761574405
13339,5,7,7,2.3131456018515206,2.2727247902199075,10,10,5.02659629629442,5.457201807002226
13339,6,10,10,0.22039765046150597,0.20977116337528937,10,10,5.02659629629442,5.440160053529673
13339,7,11,11,0.0,0.0,10,10,5.02659629629442,5.02659629629442
13340,1,1,1,0.018774189813821403,0.017408194365324797,10,4,0.30491527777579097,2.0136561414930556
13340,2,10,10,0.2861410879619696,0.3845228859230324,10,10,0.30491527777579097,1.597482776330025
13340,3,11,11,0.0,0.0,10,10,0.30491527777579097,0.30491527777579097
13341,1,1,1,0.02125221064797154,0.01789632444028501,4,4,1.9258794560173043,2.0161729600694445
13341,2,5,2,0.011436550926279139,1.2536358868634259,4,4,1.9258794560173043,2.2313800679975087
13341,3,2,2,1.3573737037016287,1.3129560004340277,4,4,1.9258794560173043,2.352584052372862
13341,4,3,3,0.3683530439822762,0.3459703459563079,4,4,1.9258794560173043,2.3247647945582868
13341,5,4,4,0.16746394675914889,0.17600486472800925,4,4,1.9258794560173043,1.9223419121625247
13341,6,11,11,0.0,0.0,4,4,1.9258794560173043,1.9258794560173043
13342,1,1,1,0.02358855324210944,0.01748978508843316,3,4,1.4344914583337527,2.0138158275462965
13342,2,5,10,0.011898993055025736,0.14764659740306713,3,10,1.4344914583337527,1.1450619871252112
13342,3,2,2,1.1052562615744495,1.3603671151620371,3,4,1.4344914583337527,2.1549249377901907
13342,4,3,3,0.2937476504621682,0.34140916612413197,3,4,1.4344914583337527,2.1272337890637143
13342,5,11,4,0.0,0.18258454499421295,3,4,1.4344914583337527,1.6975318003114728
13343,1,1,1,0.021670138888336993,0.017779891402633103,9,4,8.725914305556152,2.0152168330439815
13343,2,2,5,1.5471540856471768,0.2572418438946759,9,10,8.725914305556152,0.902564597800374
13343,3,3,3,0.3630583449094384,0.34412480107060184,9,4,8.725914305556152,2.101311655814449
13343,4,6,6,0.919005428240807,0.8086827256944444,9,10,8.725914305556152,5.859842638889397
13343,5,7,7,2.4558773611099634,2.3295166015625,9,10,8.725914305556152,5.789607434896407
13343,6,8,8,3.1069764814829384,2.9727367259837965,9,9,8.725914305556152,8.834901209490166
13343,7,3,3,0.19761167823992393,0.20936961986400462,9,9,8.725914305556152,8.82364305374799
13343,8,9,9,0.11456078703756685,0.0936073981391059,9,9,8.725914305556152,8.678230971227642
13343,9,11,11,0.0,0.0,9,9,8.725914305556152,8.725914305556152
13344,1,5,1,0.033575729167571775,0.01796295307300709,4,4,2.098349293983645,2.0146238425925924
13344,2,1,1,0.0,0.0014684208234151204,4,10,2.098349293983645,0.5148535792833125
13344,3,2,2,1.510603935185958,1.5313916015625,4,4,2.098349293983645,3.301815746528683
13344,4,3,3,0.34697061342497665,0.3406111427589699,4,4,2.098349293983645,2.487199322194965
13344,5,4,4,0.20719901620513864,0.18740478515625,4,4,2.098349293983645,2.0610395780895594
13344,6,11,11,0.0,0.0,4,4,2.098349293983645,2.098349293983645
13345,1,5,1,0.03464031250112586,0.017701167353877313,7,4,5.096151215276785,2.0144838686342594
13345,2,1,1,0.0,0.0,7,4,5.096151215276785,2.4452085272002
13345,3,2,2,1.361032106479009,1.0811311848958334,7,4,5.096151215276785,1.8403515755219593
13345,4,3,3,0.3201263194448418,0.34249330873842593,7,4,5.096151215276785,2.073591300996917
13345,5,6,6,0.8427737962978857,0.7511534740306713,7,10,5.096151215276785,5.608053874420347
13345,6,7,7,2.537578680553922,2.3284751157407406,7,10,5.096151215276785,5.545507032697399
13345,7,11,8,0.0,2.9551273148148147,7,9,5.096151215276785,8.274969574651784
13346,1,1,1,0.023440833334569578,0.017709137245460794,10,4,0.28140230324257304,2.0148399522569442
13346,2,10,10,0.25796146990800345,0.25720746075665507,10,10,0.28140230324257304,1.7882299681725324
13346,3,11,11,0.0,0.0,10,10,0.28140230324257304,0.28140230324257304
13347,1,1,1,0.022118275463581086,0.01753461343270761,4,4,1.8204743055557764,2.0132069227430556
13347,2,2,2,1.2828389583334878,0.2842651593243634,4,10,1.8204743055557764,1.5837851229751552
13347,3,3,3,0.34988377314750796,0.3435271990740741,4,4,1.8204743055557764,2.005172032335842
13347,4,4,4,0.1656332986111994,0.1981569191261574,4,4,1.8204743055557764,1.8558363321037203
13347,5,11,11,0.0,0.0,4,4,1.8204743055557764,1.8268621277422816
13348,1,1,1,0.023171643520946857,0.017854521009657117,10,4,0.3611740162058009,2.0136400462962962
13348,2,5,10,0.011512905091599182,0.25580810546875,10,10,0.3611740162058009,1.4979616825834468
13348,3,10,10,0.32648946759325487,0.49963306568287036,10,10,0.3611740162058009,1.1583031647873145
13348,4,11,11,0.0,0.0,10,10,0.3611740162058009,0.3632018336846873
13349,1,1,1,0.02223210648254112,0.017512341252079715,4,4,2.0614668865750234,2.0138091362847224
13349,2,5,2,0.011798495368825065,1.1872205041956019,4,4,2.0614668865750234,2.063891358508004
13349,3,2,2,1.3813945486120605,1.4560386827256944,4,4,2.0614668865750234,3.1335025347217367
13349,4,3,3,0.4412687268522051,0.34419731987847224,4,4,2.0614668865750234,4.380446851852316
13349,5,4,4,0.2047730092593917,0.1698649540653935,4,4,2.0614668865750234,2.055940251375238
13349,6,11,11,0.0,0.0,4,4,2.0614668865750234,2.0614668865750234
13350,1,1,1,0.024293634259590396,0.01766408849645544,9,4,8.177349942130624,2.01201732494213
13350,2,5,2,0.012086446759877382,0.27656528049045137,9,10,8.177349942130624,1.6195448278359792
13350,3,2,2,1.3679843402764311,1.3948264793113425,9,4,8.177349942130624,2.7705037065981717
13350,4,3,3,0.37527380787112097,0.3423851860894097,9,4,8.177349942130624,3.3601885315389546
13350,5,6,6,0.8808588773150134,0.8163620334201389,9,10,8.177349942130624,6.341908917824427
13350,6,7,7,2.08775796296144,2.2962311921296297,9,10,8.177349942130624,5.710827329282959
13350,7,8,8,3.1081902662057566,2.7008109085648146,9,4,8.177349942130624,7.809249716434214
13350,8,3,3,0.20953581018304385,0.2094329833984375,9,4,8.177349942130624,8.288899627098882
13350,9,9,9,0.11136879629834935,0.08417313187210648,9,9,8.177349942130624,8.128078777216098
13350,10,11,11,0.0,0.0,9,9,8.177349942130624,8.177349942130624
13351,1,5,1,0.03177754629541327,0.017572007355866608,10,4,5.255330057869907,2.013431712962963
13351,2,1,1,0.0,0.0,10,10,5.255330057869907,0.8522596788185615
13351,3,2,2,1.5298888541675275,1.3626596860532407,10,4,5.255330057869907,2.237316825809302
13351,4,3,3,0.34413568286984053,0.3415084951895255,10,4,5.255330057869907,2.6029026562499777
13351,5,6,6,0.9113753472213392,0.7856478768807871,10,10,5.255330057869907,6.6757152777772255
13351,6,7,7,2.1983645833338854,2.2987689887152776,10,10,5.255330057869907,5.781118041086528
13351,7,10,10,0.23978804398190093,0.22883058901186343,10,10,5.255330057869907,5.240614894385691
13351,8,11,11,0.0,0.0,10,10,5.255330057869907,5.255330057869907
13352,1,1,1,0.025143541666092697,0.017650636743616176,4,4,1.6541952314807309,2.012703450520833
13352,2,2,2,1.1361699884274492,1.3383545826099537,4,4,1.6541952314807309,2.6208654745364632
13352,3,3,3,0.31288049768518517,0.34055878815827545,4,4,1.6541952314807309,2.0668523574951623
13352,4,4,4,0.18000120370200387,0.17578147605613426,4,4,1.6541952314807309,1.6722581960729979
13352,5,11,11,0.0,0.0,4,4,1.6541952314807309,1.6541952314807309
13353,1,1,1,0.02486292824149132,0.017815835740831162,10,4,0.3181884490753765,2.013629738136574
13353,2,5,2,0.011331249999779242,0.28778652615017364,10,10,0.3181884490753765,1.6351081539359358
13353,3,10,10,0.281994270834106,1.0908399341724537,10,10,0.3181884490753765,1.5662902068871039
13353,4,11,11,0.0,0.0,10,10,0.3181884490753765,0.32790480160878765
13354,1,1,1,0.02635856481337989,0.01783114680537471,4,4,8.671665671296694,2.015052264178241
13354,2,5,2,0.012599976851984307,0.27308143898292825,4,10,8.671665671296694,1.5727288266768058
13354,3,2,2,1.4728918055555336,1.4122389503761574,4,4,8.671665671296694,2.553997965855179
13354,4,3,3,0.3694368402770272,0.36656638816550924,4,4,8.671665671296694,2.931628269674601
13354,5,6,6,0.7720686111130096,0.8170435474537037,4,9,8.671665671296694,6.5148078761553325
13354,6,7,7,2.025427256944003,2.3574701605902777,4,10,8.671665671296694,5.6344886111109345
13354,7,8,8,3.4308513541657617,3.0221728515625,4,4,8.671665671296694,7.976060616318827
13354,8,3,3,0.21514840277808683,0.20998291015625,4,4,8.671665671296694,8.535363395542458
13354,9,4,4,0.3468828587979078,0.3454317898220486,4,4,8.671665671296694,8.680039793112211
13354,10,11,11,0.0,0.0,4,4,8.671665671296694,8.671665671296694
13355,1,1,1,0.023732696757824332,0.017630318535698786,10,4,0.3163367129613956,2.014065212673611
13355,2,10,5,0.29260401620357124,0.3116851580584491,10,10,0.3163367129613956,1.5081742476837503
13355,3,11,11,0.0,0.0,10,10,0.3163367129613956,0.3163367129613956
13356,1,1,1,0.02430229166591609,0.017533322087040653,4,4,8.86644030092491,2.01405345775463
13356,2,5,2,0.010671493055091965,1.2988257740162037,4,4,8.86644030092491,2.0568970543973975
13356,3,2,2,1.4626143749996467,1.398173828125,4,4,8.86644030092491,3.8700866319432303
13356,4,3,3,0.2892328703707015,0.34309574833622686,4,4,8.86644030092491,2.196134483143687
13356,5,6,6,0.777867951390368,0.8072657154224537,4,10,8.86644030092491,7.502405882521912
13356,6,7,7,2.2364589120364853,2.2702909794560187,4,10,8.86644030092491,5.551364509548854
13356,7,8,8,3.542718333331523,2.9083033130787035,4,9,8.86644030092491,8.046601814235801
13356,8,3,3,0.19433414351884964,0.2095751048900463,4,9,8.86644030092491,8.75038206886362
13356,9,4,4,0.3282399305563282,0.33378632722077545,4,4,8.86644030092491,8.873554668147806
