caseID,prefix-length,true-next-activity,pred-next-activity,true-next-time,pred-next-time,true-outcome,pred-outcome,true-cycle-time,pred-cylce-time
40832,1,5,1,10.957638888888889,5.189153284143519,5,1,10.957638888888889,7.142078993055556
40832,2,25,25,0.0,0.0,5,5,10.957638888888889,12.065309425636574
40833,1,6,1,1.0347222222222223,6.225825376157408,6,1,1.0347222222222223,9.784007523148148
40833,2,25,25,0.0,0.0,6,6,1.0347222222222223,2.7034478081597224
40837,1,1,1,7.420833333333333,5.708420500578704,1,1,1061.5645833333333,8.363833188657408
40837,2,0,25,1052.71875,0.6596984411168981,1,1,1061.5645833333333,13.642941261574075
40837,3,1,1,1.425,1.6395954499421297,1,1,1061.5645833333333,1072.8787037037036
40837,4,25,25,0.0,2.86113208912037,1,1,1061.5645833333333,1105.5660069444446
40850,1,9,1,11.897916666666667,6.047809606481482,9,1,11.897916666666667,9.499204282407407
40850,2,25,25,0.0,0.0,9,9,11.897916666666667,14.299719328703704
40851,1,5,1,7.006944444444445,5.561886574074074,16,1,29.729166666666668,8.703663917824073
40851,2,2,25,2.203472222222222,0.008376399146185981,16,5,29.729166666666668,7.01530910703871
40851,3,16,1,20.51875,6.003951822916667,16,5,29.729166666666668,20.933515625
40851,4,25,25,0.0,1.0806756365740742,16,16,29.729166666666668,31.06549777560764
40854,1,12,1,20.009722222222223,6.132161458333333,12,1,20.009722222222223,10.557239583333333
40854,2,25,25,0.0,1.0279859302662038,12,12,20.009722222222223,24.96595486111111
40861,1,3,5,2.9506944444444443,7.122692418981481,3,1,2.9506944444444443,11.839225983796297
40861,2,25,25,0.0,0.0478486407244647,3,3,2.9506944444444443,5.728021014178241
40866,1,12,1,13.802083333333334,5.6779604311342595,12,1,13.802083333333334,11.815554108796297
40866,2,25,25,0.0,0.62124755859375,12,12,13.802083333333334,16.372933666087963
40867,1,12,1,39.05763888888889,5.659515697337963,12,1,39.05763888888889,10.850966435185185
40867,2,25,25,0.0,0.9387678132233797,12,12,39.05763888888889,41.426598668981484
40871,1,13,1,8.942361111111111,6.241205873842593,13,1,8.942361111111111,10.489075520833333
40871,2,25,25,0.0,1.5305510344328703,13,6,8.942361111111111,15.36041015625
40875,1,5,1,15.823611111111111,6.364428530092592,5,1,15.823611111111111,10.038817997685186
40875,2,25,25,0.0,0.0,5,5,15.823611111111111,16.85431785300926
40876,1,18,9,3.8,6.156373697916667,18,6,3.8,9.969662181712962
