caseID,prefix-length,true-next-activity,pred-next-activity,true-next-time,pred-next-time,true-outcome,pred-outcome,true-cycle-time,pred-cylce-time
40832,1,5,5,10.957638888888889,8.134722222222223,5,5,10.957638888888889,10.022222222222222
40832,2,25,25,0.0,0.0,5,5,10.957638888888889,10.957638888888889
40833,1,6,1,1.0347222222222223,8.067361111111111,6,1,1.0347222222222223,11.234375
40833,2,25,25,0.0,0.0,6,6,1.0347222222222223,1.0347222222222223
40837,1,1,1,7.420833333333333,6.8434027777777775,1,1,1061.5645833333333,10.964236111111111
40837,2,0,25,1052.71875,0.0,1,1,1061.5645833333333,7.420833333333333
40837,3,1,1,1.425,4.824305555555555,1,1,1061.5645833333333,1065.4263888888888
40837,4,25,25,0.0,0.0,1,1,1061.5645833333333,1061.5645833333333
40850,1,9,1,11.897916666666667,8.067361111111111,9,1,11.897916666666667,11.234375
40850,2,25,25,0.0,0.0,9,9,11.897916666666667,11.897916666666667
40851,1,5,1,7.006944444444445,6.8434027777777775,16,1,29.729166666666668,10.964236111111111
40851,2,2,25,2.203472222222222,0.0,16,5,29.729166666666668,7.006944444444445
40851,3,16,1,20.51875,6.8434027777777775,16,1,29.729166666666668,20.174652777777776
40851,4,25,25,0.0,0.0,16,16,29.729166666666668,29.729166666666668
40854,1,12,1,20.009722222222223,8.067361111111111,12,1,20.009722222222223,11.234375
40854,2,25,25,0.0,0.0,12,12,20.009722222222223,20.009722222222223
40861,1,3,1,2.9506944444444443,8.067361111111111,3,1,2.9506944444444443,11.234375
40861,2,25,25,0.0,0.0,3,3,2.9506944444444443,2.9506944444444443
40866,1,12,1,13.802083333333334,8.067361111111111,12,1,13.802083333333334,11.234375
40866,2,25,25,0.0,0.0,12,12,13.802083333333334,13.802083333333334
40867,1,12,1,39.05763888888889,8.067361111111111,12,1,39.05763888888889,11.234375
40867,2,25,25,0.0,0.0,12,12,39.05763888888889,39.05763888888889
40871,1,13,1,8.942361111111111,8.067361111111111,13,1,8.942361111111111,11.234375
40871,2,25,25,0.0,0.0,13,13,8.942361111111111,8.942361111111111
40875,1,5,1,15.823611111111111,8.067361111111111,5,1,15.823611111111111,11.234375
40875,2,25,25,0.0,0.0,5,5,15.823611111111111,15.823611111111111
40876,1,18,1,3.8,6.8434027777777775,18,1,3.8,10.964236111111111
40876,2,25,25,0.0,0.0,18,18,3.8,3.8
40877,1,3,1,8.875694444444445,6.8434027777777775,3,1,8.875694444444445,10.964236111111111
40877,2,25,25,0.0,0.0,3,3,8.875694444444445,8.875694444444445
40878,1,5,1,14.861805555555556,8.067361111111111,5,1,14.861805555555556,11.234375
40878,2,25,25,0.0,0.0,5,5,14.861805555555556,14.861805555555556
40881,1,5,1,19.677777777777777,6.8434027777777775,5,1,19.677777777777777,10.964236111111111
40881,2,25,25,0.0,0.0,5,5,19.677777777777777,19.677777777777777
40882,1,6,1,2.8097222222222222,8.067361111111111,6,1,2.8097222222222222,11.234375
40882,2,25,25,0.0,0.0,6,6,2.8097222222222222,2.8097222222222222
40883,1,5,1,6.111111111111111,8.067361111111111,3,1,317.2048611111111,11.234375
40883,2,11,25,279.70625,0.0,3,5,317.2048611111111,6.111111111111111
40883,3,3,1,31.3875,8.067361111111111,3,1,317.2048611111111,297.0517361111111
40883,4,25,25,0.0,0.0,3,3,317.2048611111111,317.2048611111111
40888,1,1,1,0.9076388888888889,8.067361111111111,1,1,0.9076388888888889,11.234375
40888,2,25,25,0.0,0.0,1,1,0.9076388888888889,0.9076388888888889
40896,1,5,1,4.110416666666667,8.067361111111111,5,1,4.110416666666667,11.234375
40896,2,25,25,0.0,0.0,5,5,4.110416666666667,4.110416666666667
40897,1,12,5,9.049305555555556,8.134722222222223,12,5,9.049305555555556,10.022222222222222
40897,2,25,25,0.0,0.0,12,12,9.049305555555556,9.049305555555556
40900,1,9,5,4.842361111111111,8.134722222222223,7,5,66.79305555555555,10.022222222222222
40900,2,8,25,57.13125,0.0,7,9,66.79305555555555,4.842361111111111
40900,3,7,5,4.819444444444445,8.134722222222223,7,5,66.79305555555555,71.99583333333334
40900,4,25,25,0.0,0.0,7,7,66.79305555555555,66.79305555555555
40904,1,3,5,18.87361111111111,8.134722222222223,3,5,78.97152777777778,10.022222222222222
40904,2,0,25,45.96319444444445,0.0,3,3,78.97152777777778,18.87361111111111
40904,3,3,1,14.134722222222223,4.824305555555555,3,1,78.97152777777778,70.12361111111112
40904,4,25,25,0.0,0.0,3,3,78.97152777777778,78.97152777777778
40911,1,5,1,7.9375,8.067361111111111,12,1,217.86041666666668,11.234375
40911,2,11,25,37.09375,0.0,12,5,217.86041666666668,7.9375
40911,3,1,1,6.8597222222222225,8.067361111111111,12,1,217.86041666666668,56.265625
40911,4,11,25,66.10972222222222,0.0,12,1,217.86041666666668,51.890972222222224
40911,5,5,1,2.73125,8.067361111111111,12,1,217.86041666666668,129.23506944444443
40911,6,11,25,3.0083333333333333,0.0,12,5,217.86041666666668,120.73194444444445
40911,7,5,1,4.110416666666667,8.067361111111111,12,1,217.86041666666668,134.97465277777778
40911,8,11,25,46.980555555555554,0.0,12,5,217.86041666666668,127.85069444444444
40911,9,5,1,7.007638888888889,8.067361111111111,12,1,217.86041666666668,186.065625
40911,10,11,25,24.6,0.0,12,5,217.86041666666668,181.8388888888889
40911,11,12,1,11.421527777777778,8.067361111111111,12,1,217.86041666666668,217.6732638888889
40911,12,25,25,0.0,0.0,12,12,217.86041666666668,217.86041666666668
40912,1,3,5,4.846527777777778,8.134722222222223,3,5,4.846527777777778,10.022222222222222
40912,2,25,25,0.0,0.0,3,3,4.846527777777778,4.846527777777778
40913,1,6,5,2.1979166666666665,8.134722222222223,6,5,2.1979166666666665,10.022222222222222
40913,2,25,25,0.0,0.0,6,6,2.1979166666666665,2.1979166666666665
40916,1,3,1,2.7666666666666666,6.8434027777777775,3,1,2.7666666666666666,10.964236111111111
40916,2,25,25,0.0,0.0,3,3,2.7666666666666666,2.7666666666666666
40922,1,5,1,2.048611111111111,4.824305555555555,5,1,2.048611111111111,5.2868055555555555
40922,2,25,25,0.0,0.0,5,5,2.048611111111111,2.048611111111111
40923,1,18,1,6.222222222222222,6.8434027777777775,1,1,630.9027777777778,10.964236111111111
40923,2,11,25,623.8416666666667,0.0,1,18,630.9027777777778,6.222222222222222
40923,3,1,1,0.8388888888888889,8.067361111111111,1,1,630.9027777777778,641.2982638888889
40923,4,25,25,0.0,0.0,1,1,630.9027777777778,630.9027777777778
40929,1,1,1,7.267361111111111,8.067361111111111,1,1,7.267361111111111,11.234375
40929,2,25,25,0.0,0.0,1,1,7.267361111111111,7.267361111111111
40934,1,1,1,6.180555555555555,4.824305555555555,5,1,143.39930555555554,5.2868055555555555
40934,2,0,25,97.86111111111111,0.0,5,1,143.39930555555554,6.180555555555555
40934,3,5,1,39.357638888888886,4.824305555555555,5,1,143.39930555555554,109.32847222222222
40934,4,25,25,0.0,0.0,5,5,143.39930555555554,143.39930555555554
40936,1,3,1,27.697222222222223,6.8434027777777775,3,1,27.697222222222223,10.964236111111111
40936,2,25,25,0.0,0.0,3,3,27.697222222222223,27.697222222222223
40940,1,5,1,6.096527777777778,6.8434027777777775,5,1,6.096527777777778,10.964236111111111
40940,2,25,25,0.0,0.0,5,5,6.096527777777778,6.096527777777778
40950,1,1,1,7.65,6.8434027777777775,1,1,7.65,10.964236111111111
40950,2,25,25,0.0,0.0,1,1,7.65,7.65
40957,1,5,1,4.354166666666667,4.824305555555555,5,1,4.354166666666667,5.2868055555555555
40957,2,25,25,0.0,0.0,5,5,4.354166666666667,4.354166666666667
40963,1,1,1,4.2652777777777775,8.067361111111111,1,1,4.2652777777777775,11.234375
40963,2,25,25,0.0,0.0,1,1,4.2652777777777775,4.2652777777777775
40967,1,3,1,7.260416666666667,4.824305555555555,3,1,7.260416666666667,5.2868055555555555
40967,2,25,25,0.0,0.0,3,3,7.260416666666667,7.260416666666667
40972,1,3,1,27.36111111111111,4.824305555555555,3,1,27.36111111111111,5.2868055555555555
40972,2,25,25,0.0,0.0,3,3,27.36111111111111,27.36111111111111
40973,1,1,1,1.7819444444444446,8.067361111111111,1,1,1.7819444444444446,11.234375
40973,2,25,25,0.0,0.0,1,1,1.7819444444444446,1.7819444444444446
40975,1,1,1,1.570138888888889,8.067361111111111,1,1,1.570138888888889,11.234375
40975,2,25,25,0.0,0.0,1,1,1.570138888888889,1.570138888888889
40976,1,1,1,9.4,6.8434027777777775,1,1,9.4,10.964236111111111
40976,2,25,25,0.0,0.0,1,1,9.4,9.4
40978,1,3,1,32.81319444444444,6.8434027777777775,3,1,32.81319444444444,10.964236111111111
40978,2,25,25,0.0,0.0,3,3,32.81319444444444,32.81319444444444
