caseID,prefix-length,true-next-activity,pred-next-activity,true-next-time,pred-next-time,true-outcome,pred-outcome,true-cycle-time,pred-cylce-time
12182573,1,6,1,1.7820949074074075,0.028113425925925927,0,3,1.7824189814814815,0.3141550925925926
12182573,2,0,0,0.00032407407407407406,0.00037037037037037035,0,3,1.7824189814814815,1.7832060185185186
12182573,3,18,3,0.0,0.0004571759259259259,0,3,1.7824189814814815,1.783292824074074
12981403,1,8,1,0.008043981481481482,0.028113425925925927,8,3,0.008043981481481482,0.3141550925925926
12981403,2,18,18,0.0,0.0,8,8,0.008043981481481482,0.008043981481481482
36646199,1,1,1,0.0031134259259259257,0.028113425925925927,0,3,1.1141898148148148,0.3141550925925926
36646199,2,6,1,1.1103935185185185,0.04204861111111111,0,3,1.1141898148148148,0.2579282407407407
36646199,3,0,0,0.0006828703703703704,0.00037037037037037035,0,3,1.1141898148148148,1.1146180555555556
36646199,4,18,3,0.0,0.0004571759259259259,0,3,1.1141898148148148,1.1150636574074073
41027832,1,6,1,1.3516435185185185,0.028113425925925927,0,3,1.3519097222222223,0.3141550925925926
41027832,2,0,0,0.0002662037037037037,0.00037037037037037035,0,3,1.3519097222222223,1.3527546296296296
41027832,3,18,3,0.0,0.0004571759259259259,0,3,1.3519097222222223,1.3527835648148148
41255227,1,1,1,0.004340277777777778,0.028113425925925927,8,3,1.0331481481481481,0.3141550925925926
41255227,2,8,1,1.0288078703703705,0.04204861111111111,8,3,1.0331481481481481,0.2591550925925926
41255227,3,18,18,0.0,0.0,8,8,1.0331481481481481,1.0331481481481481
4380207,1,1,1,0.0026157407407407405,0.028113425925925927,9,3,0.007581018518518518,0.3141550925925926
4380207,2,1,1,0.00016203703703703703,0.04204861111111111,9,3,0.007581018518518518,0.25743055555555555
4380207,3,9,1,0.004803240740740741,0.04204861111111111,9,3,0.007581018518518518,0.2575925925925926
4380207,4,18,0,0.0,0.00011574074074074075,9,0,0.007581018518518518,0.007760416666666666
33595778,1,2,1,0.8162847222222223,0.028113425925925927,4,3,0.8165509259259259,0.3141550925925926
33595778,2,4,18,0.0002662037037037037,0.0001273148148148148,4,2,0.8165509259259259,0.8164409722222222
33595778,3,18,18,0.0,0.0,4,4,0.8165509259259259,0.8165509259259259
22677895,1,3,1,0.007673611111111111,0.028113425925925927,4,3,0.008541666666666666,0.3141550925925926
22677895,2,4,0,0.0008680555555555555,0.00030092592592592595,4,3,0.008541666666666666,0.00849537037037037
22677895,3,18,18,0.0,0.0004166666666666667,4,3,0.008541666666666666,0.00917824074074074
5459153,1,6,1,0.0020949074074074073,0.028113425925925927,11,3,0.010972222222222222,0.3141550925925926
5459153,2,4,0,0.0011111111111111111,0.00037037037037037035,11,3,0.010972222222222222,0.0032060185185185186
5459153,3,11,3,0.007766203703703704,0.00044560185185185187,11,3,0.010972222222222222,0.003993055555555555
5459153,4,18,18,0.0,2.8935185185185186e-05,11,11,0.010972222222222222,0.011001157407407407
13319973,1,1,1,0.002002314814814815,0.028113425925925927,3,3,0.15403935185185186,0.3141550925925926
13319973,2,3,1,0.15203703703703703,0.04204861111111111,3,3,0.15403935185185186,0.2568171296296296
13319973,3,18,0,0.0,0.00030092592592592595,3,3,0.15403935185185186,0.15486111111111112
9230319,1,8,1,0.20167824074074073,0.028113425925925927,8,3,0.20167824074074073,0.3141550925925926
9230319,2,18,18,0.0,0.0,8,8,0.20167824074074073,0.20167824074074073
31119089,1,5,1,0.17284722222222224,0.028113425925925927,5,3,0.17284722222222224,0.3141550925925926
31119089,2,18,18,0.0,0.0,5,5,0.17284722222222224,0.17284722222222224
42472776,1,6,1,1.0990393518518518,0.028113425925925927,0,3,1.0994907407407408,0.3141550925925926
42472776,2,0,0,0.00045138888888888887,0.00037037037037037035,0,3,1.0994907407407408,1.100150462962963
42472776,3,18,3,0.0,0.0004571759259259259,0,3,1.0994907407407408,1.1003645833333333
40950445,1,1,1,0.004988425925925926,0.028113425925925927,4,3,0.0062268518518518515,0.3141550925925926
40950445,2,6,1,0.0009837962962962962,0.04204861111111111,4,3,0.0062268518518518515,0.25980324074074074
40950445,3,4,0,0.0002546296296296296,0.00037037037037037035,4,3,0.0062268518518518515,0.007083333333333333
40950445,4,18,3,0.0,0.00044560185185185187,4,3,0.0062268518518518515,0.007013888888888889
