caseID,prefix-length,true-next-activity,pred-next-activity,true-next-time,pred-next-time,true-outcome,pred-outcome,true-cycle-time,pred-cylce-time
40832,1,5,5,10.957638888888889,8.004166666666666,5,5,10.957638888888889,9.682638888888889
40832,2,25,25,0.0,0.0,5,5,10.957638888888889,10.957638888888889
40833,1,6,1,1.0347222222222223,9.128472222222221,6,1,1.0347222222222223,11.049305555555556
40833,2,25,25,0.0,0.0,6,6,1.0347222222222223,1.0347222222222223
40837,1,1,1,7.420833333333333,6.8597222222222225,1,1,1061.5645833333333,9.043055555555556
40837,2,0,25,1052.71875,0.0,1,1,1061.5645833333333,7.420833333333333
40837,3,1,25,1.425,0.0,1,1,1061.5645833333333,1060.1395833333333
40837,4,25,25,0.0,0.0,1,1,1061.5645833333333,1061.5645833333333
40850,1,9,1,11.897916666666667,9.128472222222221,9,1,11.897916666666667,11.049305555555556
40850,2,25,25,0.0,2.698263888888889,9,9,11.897916666666667,16.117013888888888
40851,1,5,1,7.006944444444445,6.8597222222222225,16,1,29.729166666666668,9.043055555555556
40851,2,2,25,2.203472222222222,4.770138888888889,16,5,29.729166666666668,17.858680555555555
40851,3,16,25,20.51875,4.770138888888889,16,5,29.729166666666668,20.06215277777778
40851,4,25,25,0.0,0.0,16,16,29.729166666666668,29.729166666666668
40854,1,12,1,20.009722222222223,9.128472222222221,12,1,20.009722222222223,11.049305555555556
40854,2,25,25,0.0,6.247222222222222,12,12,20.009722222222223,35.921527777777776
40861,1,3,1,2.9506944444444443,9.128472222222221,3,1,2.9506944444444443,11.049305555555556
40861,2,25,25,0.0,2.770486111111111,3,3,2.9506944444444443,6.568402777777778
40866,1,12,1,13.802083333333334,9.128472222222221,12,1,13.802083333333334,11.049305555555556
40866,2,25,25,0.0,6.247222222222222,12,12,13.802083333333334,29.71388888888889
40867,1,12,1,39.05763888888889,9.128472222222221,12,1,39.05763888888889,11.049305555555556
40867,2,25,25,0.0,6.247222222222222,12,12,39.05763888888889,54.96944444444444
40871,1,13,1,8.942361111111111,9.128472222222221,13,1,8.942361111111111,11.049305555555556
40871,2,25,25,0.0,3.1371527777777777,13,1,8.942361111111111,12.812847222222222
40875,1,5,1,15.823611111111111,9.128472222222221,5,1,15.823611111111111,11.049305555555556
40875,2,25,25,0.0,0.0,5,5,15.823611111111111,15.823611111111111
40876,1,18,1,3.8,6.8597222222222225,18,1,3.8,9.043055555555556
40876,2,25,25,0.0,0.0,18,18,3.8,3.8
40877,1,3,1,8.875694444444445,6.8597222222222225,3,1,8.875694444444445,9.043055555555556
40877,2,25,25,0.0,2.339583333333333,3,3,8.875694444444445,12.647222222222222
40878,1,5,1,14.861805555555556,9.128472222222221,5,1,14.861805555555556,11.049305555555556
40878,2,25,25,0.0,0.0,5,5,14.861805555555556,14.861805555555556
40881,1,5,1,19.677777777777777,6.8597222222222225,5,1,19.677777777777777,9.043055555555556
40881,2,25,25,0.0,4.770138888888889,5,5,19.677777777777777,30.52951388888889
40882,1,6,1,2.8097222222222222,9.128472222222221,6,1,2.8097222222222222,11.049305555555556
40882,2,25,25,0.0,0.0,6,6,2.8097222222222222,2.8097222222222222
40883,1,5,1,6.111111111111111,9.128472222222221,3,1,317.2048611111111,11.049305555555556
40883,2,11,25,279.70625,0.0,3,5,317.2048611111111,6.111111111111111
40883,3,3,25,31.3875,0.0,3,5,317.2048611111111,285.8173611111111
40883,4,25,25,0.0,2.770486111111111,3,3,317.2048611111111,320.82256944444447
40888,1,1,1,0.9076388888888889,9.128472222222221,1,1,0.9076388888888889,11.049305555555556
40888,2,25,25,0.0,0.0,1,1,0.9076388888888889,0.9076388888888889
40896,1,5,1,4.110416666666667,9.128472222222221,5,1,4.110416666666667,11.049305555555556
40896,2,25,25,0.0,0.0,5,5,4.110416666666667,4.110416666666667
40897,1,12,5,9.049305555555556,8.004166666666666,12,5,9.049305555555556,9.682638888888889
40897,2,25,25,0.0,1.1184027777777779,12,12,9.049305555555556,12.190277777777778
40900,1,9,5,4.842361111111111,8.004166666666666,7,5,66.79305555555555,9.682638888888889
40900,2,8,25,57.13125,0.0,7,9,66.79305555555555,4.842361111111111
40900,3,7,25,4.819444444444445,0.0,7,9,66.79305555555555,61.97361111111111
40900,4,25,25,0.0,0.0,7,7,66.79305555555555,66.79305555555555
40904,1,3,5,18.87361111111111,8.004166666666666,3,5,78.97152777777778,9.682638888888889
40904,2,0,25,45.96319444444445,0.0,3,3,78.97152777777778,18.87361111111111
40904,3,3,25,14.134722222222223,0.0,3,3,78.97152777777778,64.83680555555556
40904,4,25,25,0.0,0.0,3,3,78.97152777777778,78.97152777777778
40911,1,5,1,7.9375,9.128472222222221,12,1,217.86041666666668,11.049305555555556
