caseID,prefix-length,true-next-activity,pred-next-activity,true-next-time,pred-next-time,true-outcome,pred-outcome,true-cycle-time,pred-cylce-time
13332,1,1,1,0.02427659722114051,0.02574270103085458,4,4,2.0390178356485236,3.1324160079802157
13332,2,5,2,0.013357546296384599,0.7302692967037537,4,4,2.0390178356485236,3.1707570767782927
13332,3,2,2,1.4857935648163159,1.1004250367926058,4,4,2.0390178356485236,3.227806642083752
13332,4,3,3,0.3138234143511013,0.3444785584199302,4,4,2.0390178356485236,4.3425464322023455
13332,5,4,6,0.2017667129635811,0.4964444699222813,4,4,2.0390178356485236,4.335470221943837
13332,6,11,11,0.0,0.0,4,4,2.0390178356485236,2.0390178356485236
13333,1,1,1,0.024916342590694075,0.02574270103085458,10,4,5.50208716435013,3.1324160079802157
13333,2,2,2,1.4333762268528893,0.7302692967037537,10,4,5.50208716435013,3.171396822147846
13333,3,3,3,0.3530723842592151,0.34459325739227936,10,4,5.50208716435013,4.171630082382125
13333,4,6,4,0.6176928009258377,0.4830457289343769,10,4,5.50208716435013,4.197796227411355
13333,5,7,7,2.8415422800928356,2.291814392887491,10,10,5.50208716435013,6.394208853956457
13333,6,10,10,0.2314871296286583,1.5097811787262576,10,10,5.50208716435013,6.9812689646115755
13333,7,11,11,0.0,0.0,10,10,5.50208716435013,5.50208716435013
13334,1,5,1,0.03586945601635509,0.02574270103085458,10,4,5.069046759257714,3.1324160079802157
13334,2,1,1,0.0,7.942461792325251e-05,10,10,5.069046759257714,3.142034218215557
13334,3,2,2,1.4637347106497596,1.1004250367926058,10,4,5.069046759257714,3.2260419545825822
13334,4,3,3,0.2732898611106254,0.3444785584199302,10,4,5.069046759257714,4.3187228905346196
13334,5,6,6,0.7618572685177679,0.4964444699222813,10,4,5.069046759257714,4.271113127035634
13334,6,7,7,2.2998153587955015,2.291814392887491,10,10,5.069046759257714,6.49990239562233
13334,7,10,10,0.23448010416770423,1.5097811787262576,10,10,5.069046759257714,6.545235584980114
13334,8,11,11,0.0,0.0,10,10,5.069046759257714,5.069046759257714
13335,1,1,1,0.022602916666203076,0.02574270103085458,10,4,4.899751226852337,3.1324160079802157
13335,2,2,2,1.3710403703705027,0.7302692967037537,10,4,4.899751226852337,3.169083396223355
13335,3,3,3,0.3412987615747584,0.34459325739227936,10,4,4.899751226852337,4.106980799975247
13335,4,6,4,0.8338105902765636,0.4830457289343769,10,4,4.899751226852337,4.121373322320021
13335,5,7,7,2.0618582060188055,2.291814392887491,10,10,4.899751226852337,6.53390373821585
13335,6,10,10,0.2691403819455041,1.5097811787262576,10,10,4.899751226852337,6.341279774796938
13335,7,11,11,0.0,0.0,10,10,4.899751226852337,4.899751226852337
13336,1,1,1,0.02053818287120925,0.02574270103085458,10,4,5.035497268518364,3.1324160079802157
13336,2,2,2,1.4803381018506157,0.7302692967037537,10,4,5.035497268518364,3.167018662428361
13336,3,3,3,0.37469270833388524,0.34459325739227936,10,4,5.035497268518364,4.214213797660366
13336,4,6,4,0.8543675578716728,0.4830457289343769,10,4,5.035497268518364,4.262000266764266
13336,5,7,7,2.1177120601854944,2.291814392887491,10,10,5.035497268518364,6.695087650255204
13336,6,10,10,0.1878486574054868,1.5097811787262576,10,10,5.035497268518364,6.558317541002981
13336,7,11,11,0.0,0.0,10,10,5.035497268518364,5.035497268518364
